Axial,Tangential,Radial,fault
-0.78,-0.71,10,1
0.08,0.27,9.34,1
0.51,1.88,9.34,1
-1.61,1.33,10.79,1
0.43,0.86,10,1
-0.24,2.9,9.18,1
-1.53,0.55,11.69,1
-1.02,-1.37,9.92,1
0.59,0.98,8.32,1
-1.22,-0.47,9.73,1
0.51,0.12,8.94,1
-0.04,1.8,9.53,1
-1.45,1.45,10.63,1
-1.18,-0.59,9.73,1
-0.43,2.86,8.9,1
-1.41,0.12,11.57,1
-1.92,-1.06,10.75,1
0,2.08,8.98,1
-0.67,4.16,10.24,1
-1.02,1.53,11.14,1
0.86,-1.14,10.4,1
-0.55,-0.12,10.16,1
-4.67,-0.59,14.32,1
-2.28,-1.57,11.53,1
-0.94,-0.16,8.94,1
0.2,2.75,9.41,1
-2,1.61,11.1,1
-1.18,-0.98,10,1
-0.12,0.04,8.94,1
-2.51,-0.71,11.26,1
-0.78,-0.16,9.26,1
0.08,2.16,8.59,1
-0.59,2.24,10.71,1
-2.2,-0.59,11.57,1
-0.94,-0.16,9.26,1
1.1,1.57,7.85,1
-1.49,-0.59,10.28,1
0.63,0.24,8.63,1
-1.1,2.79,10.63,1
-2.63,2.75,11.18,1
-0.9,0.16,11.14,1
0.78,0.82,9.45,1
-0.59,-1.92,8.71,1
-0.75,-3.41,8.24,1
0.2,0.12,8.75,1
-0.2,1.57,9.41,1
-0.94,-1.18,9.49,1
0.67,0.9,8.39,1
-0.31,2.94,9.34,1
